2026-08-22 12:22:09 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-08-22 12:22:11 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-08-22 12:22:11 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-08-22 12:22:12 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-08-22 12:22:12 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-08-22 12:22:12 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-08-22 12:22:12 | INFO | validator.py | Line:40 | Validating training dataset...
2026-08-22 12:22:12 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-08-22 12:22:12 | INFO | validator.py | Line:60 | Validating RUL dataset...
2026-08-22 12:22:12 | INFO | rul_generator.py | Line:82 | Generating Remaining Useful Life (RUL)...
2026-08-22 12:22:12 | INFO | rul_generator.py | Line:92 | Applying RUL cap = 150
2026-08-22 12:22:12 | INFO | rul_generator.py | Line:96 | RUL generated successfully.
2026-08-22 12:22:12 | INFO | feature_engineer.py | Line:50 | Starting Feature Engineering...
2026-08-22 12:22:12 | INFO | feature_engineer.py | Line:119 | Generating Rolling Mean features...
2026-08-22 12:22:14 | INFO | feature_engineer.py | Line:148 | Generating Rolling Std features...
2026-08-22 12:22:15 | INFO | feature_engineer.py | Line:179 | Generating Lag Features...
2026-08-22 12:22:15 | INFO | feature_engineer.py | Line:205 | Generating Rate of Change features...
2026-08-22 12:22:15 | INFO | feature_engineer.py | Line:61 | Feature Engineering completed successfully.
2026-08-22 12:22:16 | INFO | preparation_pipeline.py | Line:37 | Starting Data Preparation Pipeline...
2026-08-22 12:22:16 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-08-22 12:22:16 | INFO | data_splitter.py | Line:67 | Train Engines: 199 | Validation Engines: 50
2026-08-22 12:22:16 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-08-22 12:22:16 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-08-22 12:22:16 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-08-22 12:22:16 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-08-22 12:22:16 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-08-22 12:22:16 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-08-22 12:22:17 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-08-22 12:22:17 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-08-22 12:22:17 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-08-22 12:22:17 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-08-22 12:22:17 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-08-22 12:22:17 | INFO | preparation_pipeline.py | Line:45 | Data Preparation completed successfully.
2026-08-22 12:22:21 | INFO | traditional_ml_benchmark.py | Line:35 | Starting Traditional ML Benchmark...
2026-08-22 12:22:21 | INFO | traditional_ml_benchmark.py | Line:44 | Training random_forest...
2026-08-22 12:22:21 | INFO | base_trainer.py | Line:24 | Training RandomForestRegressor...
2026-08-22 12:27:00 | INFO | base_trainer.py | Line:30 | Training completed successfully.
2026-08-22 12:27:00 | INFO | base_trainer.py | Line:37 | Generating predictions using RandomForestRegressor...
2026-08-22 12:27:00 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-08-22 12:27:00 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-08-22 12:27:00 | INFO | traditional_ml_benchmark.py | Line:67 | random_forest | RMSE=25.6580 | R2=0.7378
2026-08-22 12:27:00 | INFO | traditional_ml_benchmark.py | Line:44 | Training xgboost...
2026-08-22 12:27:00 | INFO | base_trainer.py | Line:24 | Training XGBRegressor...
2026-08-22 12:27:08 | INFO | base_trainer.py | Line:30 | Training completed successfully.
2026-08-22 12:27:08 | INFO | base_trainer.py | Line:37 | Generating predictions using XGBRegressor...
2026-08-22 12:27:08 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-08-22 12:27:08 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-08-22 12:27:08 | INFO | traditional_ml_benchmark.py | Line:67 | xgboost | RMSE=25.5717 | R2=0.7396
2026-08-22 12:27:08 | INFO | traditional_ml_benchmark.py | Line:44 | Training lightgbm...
2026-08-22 12:27:08 | INFO | base_trainer.py | Line:24 | Training LGBMRegressor...
2026-08-22 12:27:17 | INFO | base_trainer.py | Line:30 | Training completed successfully.
2026-08-22 12:27:17 | INFO | base_trainer.py | Line:37 | Generating predictions using LGBMRegressor...
2026-08-22 12:27:17 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-08-22 12:27:17 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-08-22 12:27:17 | INFO | traditional_ml_benchmark.py | Line:67 | lightgbm | RMSE=25.6854 | R2=0.7373
2026-08-22 12:27:17 | INFO | traditional_ml_benchmark.py | Line:44 | Training catboost...
2026-08-22 12:27:17 | INFO | base_trainer.py | Line:24 | Training CatBoostRegressor...
2026-08-22 12:28:01 | INFO | base_trainer.py | Line:30 | Training completed successfully.
2026-08-22 12:28:01 | INFO | base_trainer.py | Line:37 | Generating predictions using CatBoostRegressor...
2026-08-22 12:28:01 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-08-22 12:28:01 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-08-22 12:28:01 | INFO | traditional_ml_benchmark.py | Line:67 | catboost | RMSE=24.9348 | R2=0.7524
2026-08-22 12:28:01 | INFO | traditional_ml_benchmark.py | Line:86 | Benchmark completed successfully.
2026-08-22 12:28:01 | INFO | experiment_tracker.py | Line:48 | Experiment directory created at A:\AI_Engineer\ML Projects\Predictive-Maintenance-RUL\artifacts\experiments\2026-08-22_12-28-01
2026-08-22 12:28:01 | INFO | experiment_tracker.py | Line:67 | Benchmark results saved.
2026-08-22 12:28:01 | INFO | base_trainer.py | Line:59 | Model saved to A:\AI_Engineer\ML Projects\Predictive-Maintenance-RUL\artifacts\experiments\2026-08-22_12-28-01\best_model.pkl
2026-08-22 12:28:01 | INFO | experiment_tracker.py | Line:124 | Best model saved.
2026-08-22 12:28:01 | INFO | experiment_tracker.py | Line:168 | Feature importance saved.
2026-08-22 12:28:01 | INFO | experiment_tracker.py | Line:189 | Summary saved.
2026-08-22 12:28:01 | INFO | feature_importance.py | Line:16 | Computing feature importance...
2026-08-22 12:28:01 | INFO | feature_importance.py | Line:40 | Feature importance computed successfully.
2026-08-22 12:28:47 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-08-22 12:28:49 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-08-22 12:28:49 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-08-22 12:28:50 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-08-22 12:28:50 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-08-22 12:28:50 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-08-22 12:28:50 | INFO | validator.py | Line:40 | Validating training dataset...
2026-08-22 12:28:50 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-08-22 12:28:50 | INFO | validator.py | Line:60 | Validating RUL dataset...
2026-08-22 12:28:50 | INFO | rul_generator.py | Line:82 | Generating Remaining Useful Life (RUL)...
2026-08-22 12:28:50 | INFO | rul_generator.py | Line:92 | Applying RUL cap = 130
2026-08-22 12:28:50 | INFO | rul_generator.py | Line:96 | RUL generated successfully.
2026-08-22 12:28:51 | INFO | feature_engineer.py | Line:50 | Starting Feature Engineering...
2026-08-22 12:28:51 | INFO | feature_engineer.py | Line:119 | Generating Rolling Mean features...
