2026-07-21 12:17:29 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-07-21 12:17:31 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-07-21 12:17:31 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-07-21 12:17:32 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-07-21 12:17:32 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-07-21 12:17:32 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-07-21 12:17:32 | INFO | validator.py | Line:40 | Validating training dataset...
2026-07-21 12:17:32 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-07-21 12:17:32 | INFO | validator.py | Line:60 | Validating RUL dataset...
2026-07-21 12:18:21 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-07-21 12:18:25 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-07-21 12:18:25 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-07-21 12:18:28 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-07-21 12:18:28 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-07-21 12:18:28 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-07-21 12:18:28 | INFO | validator.py | Line:40 | Validating training dataset...
2026-07-21 12:18:28 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-07-21 12:18:28 | INFO | validator.py | Line:60 | Validating RUL dataset...
2026-07-21 12:28:44 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-07-21 12:28:46 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-07-21 12:28:46 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-07-21 12:28:47 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-07-21 12:28:47 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-07-21 12:28:47 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-07-21 12:28:47 | INFO | validator.py | Line:40 | Validating training dataset...
2026-07-21 12:28:47 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-07-21 12:28:47 | INFO | validator.py | Line:60 | Validating RUL dataset...
