2026-08-06 00:05:10 | INFO | base_trainer.py | Line:66 | Loading model from A:\AI_Engineer\ML Projects\Predictive-Maintenance-RUL\artifacts\models\best_model.pkl
2026-08-06 00:05:43 | INFO | base_trainer.py | Line:66 | Loading model from A:\AI_Engineer\ML Projects\Predictive-Maintenance-RUL\artifacts\best_model.pkl
2026-08-06 00:09:46 | INFO | loader.py | Line:18 | Reading train_FD004.txt
2026-08-06 00:09:47 | INFO | loader.py | Line:21 | train_FD004.txt Loaded Successfully
2026-08-06 00:09:47 | INFO | loader.py | Line:18 | Reading test_FD004.txt
2026-08-06 00:09:48 | INFO | loader.py | Line:21 | test_FD004.txt Loaded Successfully
2026-08-06 00:09:48 | INFO | loader.py | Line:18 | Reading RUL_FD004.txt
2026-08-06 00:09:48 | INFO | loader.py | Line:21 | RUL_FD004.txt Loaded Successfully
2026-08-06 00:09:49 | INFO | validator.py | Line:40 | Validating training dataset...
2026-08-06 00:09:50 | INFO | validator.py | Line:50 | Validating testing dataset...
2026-08-06 00:09:50 | INFO | validator.py | Line:60 | Validating RUL dataset...
2026-08-06 00:10:05 | INFO | rul_generator.py | Line:82 | Generating Remaining Useful Life (RUL)...
2026-08-06 00:10:05 | INFO | rul_generator.py | Line:92 | Applying RUL cap = 125
2026-08-06 00:10:05 | INFO | rul_generator.py | Line:96 | RUL generated successfully.
2026-08-06 00:10:14 | INFO | feature_engineer.py | Line:50 | Starting Feature Engineering...
2026-08-06 00:10:14 | INFO | feature_engineer.py | Line:119 | Generating Rolling Mean features...
2026-08-06 00:10:15 | INFO | feature_engineer.py | Line:148 | Generating Rolling Std features...
2026-08-06 00:10:16 | INFO | feature_engineer.py | Line:179 | Generating Lag Features...
2026-08-06 00:10:16 | INFO | feature_engineer.py | Line:205 | Generating Rate of Change features...
2026-08-06 00:10:16 | INFO | feature_engineer.py | Line:61 | Feature Engineering completed successfully.
2026-08-06 00:10:35 | INFO | preparation_pipeline.py | Line:37 | Starting Data Preparation Pipeline...
2026-08-06 00:10:35 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-08-06 00:10:36 | INFO | data_splitter.py | Line:67 | Train Engines: 199 | Validation Engines: 50
2026-08-06 00:10:36 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-08-06 00:10:36 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-08-06 00:10:36 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-08-06 00:10:36 | INFO | feature_selector.py | Line:29 | Starting Feature Selection...
2026-08-06 00:10:36 | INFO | feature_selector.py | Line:40 | Feature Selection completed successfully.
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:33 | Fitting Feature Scaler...
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:37 | Feature Scaler fitted successfully.
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:44 | Transforming features...
2026-08-06 00:10:36 | INFO | feature_scaler.py | Line:60 | Feature transformation completed.
2026-08-06 00:10:36 | INFO | preparation_pipeline.py | Line:45 | Data Preparation completed successfully.
2026-08-06 00:11:14 | INFO | feature_importance.py | Line:16 | Computing feature importance...
2026-08-06 00:11:14 | INFO | feature_importance.py | Line:40 | Feature importance computed successfully.
2026-08-06 00:12:34 | INFO | visualization.py | Line:61 | Saved plot to A:\AI_Engineer\ML Projects\Predictive-Maintenance-RUL\artifacts\plots\top_50_feature_importance.png
2026-08-06 00:13:17 | INFO | shap_explainer.py | Line:22 | Computing SHAP values...
